anio,codigo,descripcion,total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,fuente,categoria
2017,6180,No exhibir documentacion sobre transporte de sustancias peligrosas,48,4,1,2,2,6,2,1,11,8,5,6,0,infracciones_2017,otras
2017,6181,Conductor vehiculo con taximetro que se negara sin justificacion a transportar pasajero,11,0,1,0,1,2,1,0,4,1,0,0,1,infracciones_2017,otras
2017,6182,Cond vehiculo con taximetro que se negara a interrumpir func del mecanismo y/o disp de publicidad,6,1,0,2,0,0,0,1,0,2,0,0,0,infracciones_2017,otras
2017,6183,Cond vehiculo con taximetro que no porte ficha identif del titular de la licencia o la del conductor,12,0,1,2,1,0,1,1,0,0,3,3,0,infracciones_2017,otras
2017,6184,Titular vehiculo de carga exceda peso maximo por eje,6,0,0,1,0,1,0,0,2,0,0,1,1,infracciones_2017,otras
2017,6185,Carga y descarga (propietario y/o responsable del comercio),95,5,5,6,11,12,5,10,14,4,9,7,7,infracciones_2017,otras
2017,6186,"Violacion de semaforo (taxis, escolares , pasajeros, remises. Prestando servicio)",7095,511,310,620,400,704,374,533,1109,599,541,705,689,infracciones_2017,otras
2017,6187,"Negativa de someterse a control (taxis, escolares , pasajeros, remises. Prestando servicio)",14,0,1,1,0,0,0,0,1,2,1,6,2,infracciones_2017,alcohol
2017,6190,Falta poliza seguro contra terceros,3284,141,119,619,370,373,292,215,189,169,239,307,251,infracciones_2017,otras
2017,6191,Falta poliza seguro contra terceros (no cuente),2788,127,114,430,256,286,213,206,193,223,280,269,191,infracciones_2017,otras
2017,6200,Placas dominio. Falta/antirreglamentarias/mal estado,17709,831,918,1413,1114,1570,1060,1201,2173,1286,1389,2595,2159,infracciones_2017,otras
2017,6220,Circular con Placas de OTRO dominio.,12,0,0,1,0,0,0,0,2,1,3,2,3,infracciones_2017,otras
2017,6230,Circular con equipo Antiradar o Antifoto,38,1,2,3,1,6,2,1,8,3,6,2,3,infracciones_2017,otras
2017,6240,Revision tecnica No porte certificado,420,0,23,13,9,25,30,30,109,65,43,44,29,infracciones_2017,otras
2017,6241,Revision tecnica (no realizarla o certificado vencido),2505,3,11,56,18,55,77,195,444,542,340,457,307,infracciones_2017,otras
2017,6242,Incumplimiento grabado de autopartes (Titular/Tomador),25863,0,25844,1,1,1,0,0,1,9,0,3,3,infracciones_2017,otras
2017,6243,Incumplimiento grabado de autopartes (Gestor/Mandat/Concesionaria/Intermediario),1,0,1,0,0,0,0,0,0,0,0,0,0,infracciones_2017,otras
2017,6250,Frenos/Luces/elementos seguridad Falta o Deficientes,287,5,6,18,4,8,15,11,19,16,15,130,40,infracciones_2017,otras
2017,6270,No uso cinturon de seguridad,17735,764,763,1069,575,1375,723,929,1602,726,1183,4818,3208,infracciones_2017,otras
2017,6271,Menores de edad en asiento trasero SIN dispositivo retencion infantil o SIN acompañante mayor,1222,27,23,38,24,46,17,40,114,87,70,462,274,infracciones_2017,otras
2017,6272,Sistemas o dispositivos de retencion infantil,7,0,0,0,0,0,0,1,0,0,1,3,2,infracciones_2017,otras
2017,6280,"Limitador de velocidad, Falta / Funciona incorrectamente",11,0,1,0,0,3,1,1,1,1,2,1,0,infracciones_2017,otras
2017,6290,"Dispositivo control gases, Falta /Mal funcionamiento",208,8,32,66,2,42,4,20,14,2,3,10,5,infracciones_2017,otras
2017,6310,Verter liquido combustible o aguas servidas,85,7,1,5,3,8,1,12,15,5,11,10,7,infracciones_2017,otras
2017,6330,Dispositivo de control de ruido y silenciador Falta /Mal funcionamiento,717,2,83,55,36,168,52,71,68,55,84,5,38,infracciones_2017,otras
2017,6350,Uso indebido e bocina,922,33,42,50,19,89,33,82,146,81,58,167,122,infracciones_2017,otras
2017,6370,Colocacion Bocinas o sirenas antirreglamentarias,27,1,2,3,0,1,0,3,2,1,0,4,10,infracciones_2017,otras
2017,6390,Uso Paragolpe antirreglamentario,34,1,3,2,2,2,0,3,4,1,1,3,12,infracciones_2017,otras
2017,6410,Falta Paragolpe,87,2,5,9,7,11,5,4,10,4,5,18,7,infracciones_2017,otras
2017,6430,Uso de Vidrios tonalizados antirreglamentarios,405,16,34,13,17,49,49,44,93,24,18,32,16,infracciones_2017,otras
2017,6450,"Falta/sin vision, Espejos Retrovisores",1383,41,41,190,109,115,124,93,91,105,118,203,153,infracciones_2017,otras
2017,6470,Falta Tapa Combustible,72,6,3,3,3,1,6,5,3,5,3,14,20,infracciones_2017,otras
2017,6490,Conducir utilizando Celular / Auriculares / Reproductor de video,160947,10076,7008,10979,6373,12471,5591,10307,20755,11194,10485,30958,24750,infracciones_2017,otras
2017,6492,Conductor redactando/enviando mensaje de texto,17369,991,679,1233,765,1646,530,1169,2360,1179,1161,3433,2223,infracciones_2017,otras
2017,6501,Permitir Viajar personas impedidas en asiento delantero,18476,964,975,1747,836,1411,611,991,2682,1309,1076,3268,2606,infracciones_2017,velocidad
2017,6525,Exceso Velocidad hasta 10Km/h de la Máxima permitida para el tipo de arteria,268522,26851,25154,21554,21285,17648,24293,21430,9198,20895,33481,21936,24797,infracciones_2017,velocidad
2017,6526,Exceso Velocidad más de 10Km/h y hasta 20Km/h de la Máxima permitida para el tipo de arteria,165505,17264,14827,14147,13143,10695,14816,13230,5425,12446,23226,11951,14335,infracciones_2017,velocidad
2017,6527,Exceso Velocidad hasta 20Km/h de la Máxima permitida en vías rápidas,1180307,148491,106730,137877,135296,139385,125051,108651,24216,35472,64997,69948,84193,infracciones_2017,velocidad
2017,6528,Exceso Velocidad más de 20Km/h y hasta 40Km/h de la Máxima permitida en vías rápidas,168707,23330,15591,19365,22748,22649,17566,14282,2840,3774,7115,9377,10070,infracciones_2017,velocidad
2017,6529,Exceso Velocidad más 20Km de la Máxima permitida para el tipo de arteria y hasta 140 km/h,42454,5000,4073,5523,4231,2652,3648,3483,1471,3122,4030,1841,3380,infracciones_2017,velocidad
